code,value,areaName,cx,cy,region,Average size
E07000171,184.7,Bassetlaw,469431,382275,E12000004,2.244451786
E07000172,1385,Broxtowe,449657,342283,E12000004,2.251111433
E07000173,977.4,Gedling,459166,348277,E12000004,2.262002211
E07000175,188.8,Newark and Sherwood,472378,359080,E12000004,2.260889131
E07000176,291,Rushcliffe,464834,334124,E12000004,2.335010625
E07000177,273.5,Cherwell,449860,229130,E12000008,2.408783938
E07000178,3553,Oxford,452441,206500,E12000008,2.529915458
E07000179,219.7,South Oxfordshire,464397,193175,E12000008,2.385254565
E07000180,240.5,Vale of White Horse,438787,192976,E12000008,2.363803958
E07000181,159.9,West Oxfordshire,434067,215553,E12000008,2.329109439
E07000187,157,Mendip,362056,144991,E12000009,2.262342672
E07000188,222.2,Sedgemoor,333465,143276,E12000009,2.29803536
E07000189,180,South Somerset,350246,121192,E12000009,2.238276466
E07000192,1274.3,Cannock Chase,401418,312745,E12000005,2.30069029
E07000193,320.5,East Staffordshire,412763,329519,E12000005,2.375984559
E07000194,321.3,Lichfield,413297,310036,E12000005,2.301030024
E07000195,584.5,Newcastle-under-Lyme,378749,344081,E12000005,2.24656047
E07000196,271.2,South Staffordshire,388140,303026,E12000005,2.311398278
E07000197,228.8,Stafford,388230,327866,E12000005,2.241677353
E07000199,2549.6,Tamworth,421984,303220,E12000005,2.380593385
E07000200,155.5,Babergh,599986,243163,E12000006,2.267567097
E07000203,117.9,Mid Suffolk,611211,265459,E12000006,2.287524806
E07000207,1459.6,Elmbridge,512060,163238,E12000008,2.468475113
E07000208,2375.4,Epsom and Ewell,521188,161461,E12000008,2.552777778
E07000209,530.2,Guildford,500446,150851,E12000008,2.42470814
E07000210,338.3,Mole Valley,517049,147214,E12000008,2.318066774
E07000211,1168.1,Reigate and Banstead,526286,152009,E12000008,2.464402079
E07000212,1128.6,Runnymede,501617,167042,E12000008,2.415224318
E07000213,2293.9,Spelthorne,506652,170605,E12000008,2.442913527
E07000215,354.1,Tandridge,536712,149345,E12000008,2.415489992
E07000216,371.5,Waverley,495682,139877,E12000008,2.369985509
E07000217,1634.4,Woking,500423,158249,E12000008,2.48747466
E07000218,228.8,North Warwickshire,425346,294421,E12000005,2.332813633
E07000219,1699.7,Nuneaton and Bedworth,435701,289373,E12000005,2.357120136
E07000220,325.7,Rugby,445826,276476,E12000005,2.394210112
E07000221,137.8,Stratford-on-Avon,425910,253437,E12000005,2.246132114
E07000222,524.8,Warwick,428512,268090,E12000005,2.307254987
E07000223,1534.4,Adur,519857,106296,E12000008,2.305994147
E07000224,746.1,Arun,500922,105536,E12000008,2.220723634
E07000225,157.8,Chichester,488437,116059,E12000008,2.219781235
E07000226,2634.9,Crawley,527313,137822,E12000008,2.589446618
E07000227,276.8,Horsham,514696,122819,E12000008,2.312580169
E07000228,456.8,Mid Sussex,531427,126224,E12000008,2.375917536
E07000229,3423.7,Worthing,513043,104470,E12000008,2.212657717
E07000234,457.1,Bromsgrove,398961,273791,E12000005,2.354537744
E07000235,137.7,Malvern Hills,376452,253907,E12000005,2.224964173
E07000236,1604.4,Redditch,403427,264902,E12000005,2.382236517
E07000237,3121.4,Worcester,385680,255359,E12000005,2.28036401
E07000238,199.7,Wychavon,396608,251844,E12000005,2.283766585
E07000239,520,Wyre Forest,381336,275771,E12000005,2.218875502
E07000240,919.3,St Albans,514441,209482,E12000006,2.489964401
E07000241,925,Welwyn Hatfield,524698,209206,E12000006,2.480318539
E07000242,315.7,East Hertfordshire,537205,220364,E12000006,2.389329593
E07000243,3444.8,Stevenage,524559,224521,E12000006,2.432131902
E07000244,195.1,East Suffolk,636456,265500,E12000006,2.188137139
E07000245,173.9,West Suffolk,578957,267629,E12000006,2.228075077
E07000246,132.6,Somerset West and Taunton,304672,132836,E12000009,2.202640528
E08000002,1948.6,Bury,379434,410155,E12000002,2.373926513
E08000003,4772.7,Manchester,384645,394923,E12000002,2.460124156
E08000004,1700.5,Oldham,396668,406152,E12000002,2.563373023
E08000005,1415.6,Rochdale,389646,413331,E12000002,2.454230074
E08000006,2777.2,Salford,375503,399266,E12000002,2.284091107
E08000007,2338.3,Stockport,391577,388561,E12000002,2.308531723
E08000008,2239.7,Tameside,395938,397900,E12000002,2.304992615
E08000009,2216.7,Trafford,376532,391465,E12000002,2.425131662
E08000010,1750,Wigan,361033,403243,E12000002,2.283414276
E08000011,1787,Knowsley,344694,392430,E12000002,2.325518744
E08000012,4346.1,Liverpool,339133,389144,E12000002,2.233046253
E08000013,1343.6,St. Helens,352124,396102,E12000002,2.246559109
E08000014,1783.4,Sefton,332846,408176,E12000002,2.239348045
E08000015,1989.7,Wirral,327405,386273,E12000002,2.214914975
E08000016,743.3,Barnsley,431083,404470,E12000003,2.247015271
E08000017,542.4,Doncaster,460041,405684,E12000003,2.270424561
